ICBI,INDOBeX-CP,INDOBeX-EY,INDOBeX-GP,INDOBeX-GY,date
392.525,115.9264,6.9059,117.6306,6.9416,2024-11-28
392.1086,115.8242,6.9198,117.5084,6.957,2024-11-27
392.0334,115.8242,6.9198,117.4866,6.957,2024-11-26
392.4324,115.9663,6.8967,117.6068,6.9358,2024-11-25
392.4345,115.9894,6.8877,117.6087,6.9326,2024-11-22
392.6269,116.1147,6.8665,117.673,6.9141,2024-11-21
392.8521,116.2047,6.8532,117.7421,6.9008,2024-11-20
393.0558,116.2883,6.8423,117.8033,6.8886,2024-11-19
392.8572,116.2513,6.8442,117.7448,6.8942,2024-11-18
392.3588,116.1245,6.8637,117.5989,6.9132,2024-11-15
391.7967,116.0227,6.8748,118.2022,6.9281,2024-11-14
392.5229,116.2642,6.8413,118.4217,6.8925,2024-11-13
394.571,116.9271,6.7392,119.0428,6.795,2024-11-11
394.0376,116.7886,6.7693,118.8826,6.8157,2024-11-08
392.8963,116.5114,6.814,118.5557,6.8565,2024-11-07
392.3016,116.3544,6.8401,118.3768,6.8798,2024-11-06
393.1582,116.6353,6.7937,118.6362,6.8384,2024-11-05
392.7677,116.5399,6.8076,118.5194,6.8525,2024-11-04
392.8462,116.586,6.7962,118.5449,6.846,2024-11-01
392.5492,116.5621,6.7897,118.4392,6.8467,2024-10-31
